Order_ID,Customer_Region,Product_Category,Order_Date,Ship_Date,Delivery_Date,Shipping_Mode,Shipping_Cost,Delivery_Status,Delivery_Days
OR10000,West,Home,5/12/2024,5/16/2024,5/26/2024,Standard,122.0,Delivered,10
OR10001,Central,Home,4/19/2025,4/24/2025,4/26/2025,Standard,143.0,Delivered,2
OR10002,East,Home,7/2/2025,7/4/2025,7/11/2025,Standard,107.0,Delayed,7
OR10003,Central,Grocery,10/4/2025,10/8/2025,10/16/2025,Standard,145.0,Delayed,8
OR10004,Central,Sports,10/31/2023,11/2/2023,11/7/2023,Standard,121.0,Delivered,5
OR10005,South,Home,7/22/2024,7/25/2024,8/2/2024,Standard,62.0,Delivered,8
OR10006,East,Fashion,12/23/2022,12/23/2022,12/30/2022,Standard,113.0,Delivered,7
OR10007,East,Beauty,5/3/2022,5/4/2022,5/11/2022,Express,130.0,Delivered,7
OR10008,East,Beauty,11/10/2022,11/15/2022,11/19/2022,Express,208.0,Delivered,4
OR10009,Central,Home,9/28/2022,10/3/2022,10/7/2022,Standard,132.0,Delivered,4
OR10010,West,Sports,4/20/2025,4/23/2025,4/26/2025,Standard,134.0,Delayed,3
OR10011,East,Sports,12/3/2023,12/8/2023,12/18/2023,Express,103.0,Delivered,10
OR10012,Central,Grocery,2/26/2022,2/26/2022,3/1/2022,Express,161.0,Delivered,3
OR10013,South,Home,10/2/2023,10/4/2023,10/9/2023,Standard,79.0,Delivered,5
OR10014,West,Fashion,1/7/2025,1/12/2025,1/21/2025,Standard,144.0,Delivered,9
OR10015,South,Grocery,8/6/2023,8/10/2023,8/15/2023,Standard,117.0,Delivered,5
OR10016,West,Grocery,2/27/2022,2/28/2022,3/7/2022,Standard,143.0,Delivered,7
OR10017,Central,Home,12/27/2025,12/31/2025,1/8/2026,Standard,86.0,Delivered,8
OR10018,North,Home,12/11/2025,12/15/2025,12/20/2025,Standard,102.0,Delivered,5
OR10019,West,Grocery,7/12/2023,7/15/2023,7/25/2023,Standard,128.0,Returned,10
OR10020,South,Grocery,1/25/2024,1/26/2024,1/29/2024,Standard,53.0,Delivered,3
OR10021,Central,Grocery,12/21/2023,12/26/2023,1/3/2024,Same Day,277.0,Delivered,8
OR10022,West,Electronics,5/15/2024,5/19/2024,5/26/2024,Standard,92.0,Delivered,7
OR10023,North,Grocery,3/26/2022,3/26/2022,4/2/2022,Standard,79.0,Delivered,7
OR10024,North,Sports,6/3/2023,6/5/2023,6/9/2023,Express,161.0,Delivered,4
OR10025,East,Beauty,5/7/2023,5/10/2023,5/20/2023,Standard,63.0,Delivered,10
OR10026,East,Fashion,8/1/2025,8/6/2025,8/9/2025,Same Day,292.0,Delayed,3
OR10027,South,Fashion,12/8/2024,12/11/2024,12/20/2024,Express,81.0,Delivered,9
OR10028,West,Beauty,4/18/2024,4/19/2024,4/25/2024,Standard,118.0,Delivered,6
OR10029,West,Home,4/25/2024,4/27/2024,5/3/2024,Standard,59.0,Delayed,6
OR10030,East,Grocery,12/16/2022,12/19/2022,12/23/2022,Same Day,218.0,Delayed,4
OR10031,West,Fashion,5/5/2024,5/8/2024,5/12/2024,Standard,94.0,Delivered,4
OR10032,West,Fashion,12/29/2025,12/29/2025,1/6/2026,Express,227.0,Delivered,8
OR10033,North,Sports,4/27/2023,4/30/2023,5/3/2023,Express,237.0,Delivered,3
OR10034,East,Sports,8/27/2025,8/30/2025,9/2/2025,Express,131.0,Delivered,3
OR10035,Central,Electronics,11/4/2025,11/6/2025,11/9/2025,Express,128.0,Delivered,3
OR10036,East,Beauty,12/6/2023,12/7/2023,12/17/2023,Standard,112.0,Delivered,10
OR10037,Central,Electronics,4/27/2023,4/29/2023,5/7/2023,Express,130.0,Delivered,8
OR10038,North,Fashion,8/19/2023,8/21/2023,8/23/2023,Express,168.0,Delivered,2
OR10039,South,Home,1/23/2025,1/26/2025,2/3/2025,Same Day,282.0,Delivered,8
OR10040,West,Fashion,9/1/2024,9/4/2024,9/13/2024,Standard,108.0,Delivered,9
OR10041,North,Home,6/11/2023,6/13/2023,6/19/2023,Standard,91.0,Delivered,6
OR10042,West,Fashion,11/23/2024,11/28/2024,12/6/2024,Same Day,280.0,Delivered,8
OR10043,South,Sports,8/4/2023,8/5/2023,8/13/2023,Standard,132.0,Delayed,8
OR10044,South,Grocery,5/22/2025,5/26/2025,6/5/2025,Standard,57.0,Delivered,10
OR10045,North,Fashion,10/11/2024,10/11/2024,10/16/2024,Express,225.0,Delayed,5
OR10046,South,Electronics,11/1/2024,11/5/2024,11/9/2024,Standard,125.0,Delivered,4
OR10047,Central,Home,11/2/2023,11/2/2023,11/4/2023,Express,238.0,Delivered,2
OR10048,South,Home,5/30/2022,5/30/2022,6/8/2022,Standard,125.0,Delivered,9
OR10049,West,Fashion,6/17/2025,6/18/2025,6/23/2025,Standard,84.0,Delivered,5
OR10050,West,Home,12/31/2024,1/1/2025,1/11/2025,Express,122.0,Delivered,10
OR10051,West,Electronics,7/11/2022,7/11/2022,7/20/2022,Standard,146.0,Delivered,9
OR10052,West,Sports,4/7/2024,4/12/2024,4/16/2024,Standard,115.0,Delivered,4
OR10053,Central,Grocery,8/17/2022,8/17/2022,8/24/2022,Standard,95.0,Delivered,7
OR10054,East,Grocery,10/11/2022,10/13/2022,10/16/2022,Standard,81.0,Returned,3
OR10055,North,Home,9/16/2025,9/16/2025,9/25/2025,Standard,107.0,Delivered,9
OR10056,West,Fashion,8/22/2022,8/23/2022,8/28/2022,Express,165.0,Delivered,5
OR10057,South,Home,11/29/2022,12/1/2022,12/7/2022,Express,194.0,Delivered,6
OR10058,West,Electronics,2/12/2022,2/12/2022,2/22/2022,Express,244.0,Delivered,10
OR10059,South,Beauty,12/5/2025,12/7/2025,12/12/2025,Standard,69.0,Delivered,5
OR10060,South,Fashion,3/1/2024,3/4/2024,,Express,243.0,Delayed,9
OR10061,West,Sports,1/25/2024,1/25/2024,2/1/2024,Standard,77.0,Delivered,7
OR10062,Central,Electronics,4/7/2022,4/7/2022,4/13/2022,Express,148.0,Delivered,6
OR10063,South,Sports,1/8/2023,1/9/2023,1/17/2023,Standard,51.0,Delivered,8
OR10064,South,Fashion,8/25/2023,8/27/2023,8/30/2023,Standard,81.0,Delivered,3
OR10065,West,Sports,8/23/2022,8/25/2022,8/27/2022,Standard,52.0,Delivered,2
