,Order_ID,Customer_Region,Product_Category,Order_Date,Ship_Date,Delivery_Date,Shipping_Mode,Shipping_Cost,Delivery_Status,Delivery_Days
0,OR10000,West,Home,2024-05-12,2024-05-16,2024-05-26,Standard,122.0,Delivered,10
1,OR10001,Central,Home,2025-04-19,2025-04-24,2025-04-26,Standard,143.0,Delivered,2
2,OR10002,East,Home,2025-07-02,2025-07-04,2025-07-11,Standard,107.0,Delayed,7
3,OR10003,Central,Grocery,2025-10-04,2025-10-08,2025-10-16,Standard,145.0,Delayed,8
4,OR10004,Central,Sports,2023-10-31,2023-11-02,2023-11-07,Standard,121.0,Delivered,5
5,OR10005,South,Home,2024-07-22,2024-07-25,2024-08-02,Standard,62.0,Delivered,8
6,OR10006,East,Fashion,2022-12-23,2022-12-23,2022-12-30,Standard,113.0,Delivered,7
7,OR10007,East,Beauty,2022-05-03,2022-05-04,2022-05-11,Express,130.0,Delivered,7
8,OR10008,East,Beauty,2022-11-10,2022-11-15,2022-11-19,Express,208.0,Delivered,4
9,OR10009,Central,Home,2022-09-28,2022-10-03,2022-10-07,Standard,132.0,Delivered,4
10,OR10010,West,Sports,2025-04-20,2025-04-23,2025-04-26,Standard,134.0,Delayed,3
11,OR10011,East,Sports,2023-12-03,2023-12-08,2023-12-18,Express,103.0,Delivered,10
12,OR10012,Central,Grocery,2022-02-26,2022-02-26,2022-03-01,Express,161.0,Delivered,3
13,OR10013,South,Home,2023-10-02,2023-10-04,2023-10-09,Standard,79.0,Delivered,5
14,OR10014,West,Fashion,2025-01-07,2025-01-12,2025-01-21,Standard,144.0,Delivered,9
15,OR10015,South,Grocery,2023-08-06,2023-08-10,2023-08-15,Standard,117.0,Delivered,5
16,OR10016,West,Grocery,2022-02-27,2022-02-28,2022-03-07,Standard,143.0,Delivered,7
17,OR10017,Central,Home,2025-12-27,2025-12-31,2026-01-08,Standard,86.0,Delivered,8
18,OR10018,North,Home,2025-12-11,2025-12-15,2025-12-20,Standard,102.0,Delivered,5
19,OR10019,West,Grocery,2023-07-12,2023-07-15,2023-07-25,Standard,128.0,Returned,10
20,OR10020,South,Grocery,2024-01-25,2024-01-26,2024-01-29,Standard,53.0,Delivered,3
21,OR10021,Central,Grocery,2023-12-21,2023-12-26,2024-01-03,Same Day,277.0,Delivered,8
22,OR10022,West,Electronics,2024-05-15,2024-05-19,2024-05-26,Standard,92.0,Delivered,7
23,OR10023,North,Grocery,2022-03-26,2022-03-26,2022-04-02,Standard,79.0,Delivered,7
24,OR10024,North,Sports,2023-06-03,2023-06-05,2023-06-09,Express,161.0,Delivered,4
25,OR10025,East,Beauty,2023-05-07,2023-05-10,2023-05-20,Standard,63.0,Delivered,10
26,OR10026,East,Fashion,2025-08-01,2025-08-06,2025-08-09,Same Day,292.0,Delayed,3
27,OR10027,South,Fashion,2024-12-08,2024-12-11,2024-12-20,Express,81.0,Delivered,9
28,OR10028,West,Beauty,2024-04-18,2024-04-19,2024-04-25,Standard,118.0,Delivered,6
29,OR10029,West,Home,2024-04-25,2024-04-27,2024-05-03,Standard,59.0,Delayed,6
30,OR10030,East,Grocery,2022-12-16,2022-12-19,2022-12-23,Same Day,218.0,Delayed,4
31,OR10031,West,Fashion,2024-05-05,2024-05-08,2024-05-12,Standard,94.0,Delivered,4
32,OR10032,West,Fashion,2025-12-29,2025-12-29,2026-01-06,Express,227.0,Delivered,8
33,OR10033,North,Sports,2023-04-27,2023-04-30,2023-05-03,Express,237.0,Delivered,3
34,OR10034,East,Sports,2025-08-27,2025-08-30,2025-09-02,Express,131.0,Delivered,3
35,OR10035,Central,Electronics,2025-11-04,2025-11-06,2025-11-09,Express,128.0,Delivered,3
36,OR10036,East,Beauty,2023-12-06,2023-12-07,2023-12-17,Standard,112.0,Delivered,10
37,OR10037,Central,Electronics,2023-04-27,2023-04-29,2023-05-07,Express,130.0,Delivered,8
38,OR10038,North,Fashion,2023-08-19,2023-08-21,2023-08-23,Express,168.0,Delivered,2
39,OR10039,South,Home,2025-01-23,2025-01-26,2025-02-03,Same Day,282.0,Delivered,8
40,OR10040,West,Fashion,2024-09-01,2024-09-04,2024-09-13,Standard,108.0,Delivered,9
41,OR10041,North,Home,2023-06-11,2023-06-13,2023-06-19,Standard,91.0,Delivered,6
42,OR10042,West,Fashion,2024-11-23,2024-11-28,2024-12-06,Same Day,280.0,Delivered,8
43,OR10043,South,Sports,2023-08-04,2023-08-05,2023-08-13,Standard,132.0,Delayed,8
44,OR10044,South,Grocery,2025-05-22,2025-05-26,2025-06-05,Standard,57.0,Delivered,10
45,OR10045,North,Fashion,2024-10-11,2024-10-11,2024-10-16,Express,225.0,Delayed,5
46,OR10046,South,Electronics,2024-11-01,2024-11-05,2024-11-09,Standard,125.0,Delivered,4
47,OR10047,Central,Home,2023-11-02,2023-11-02,2023-11-04,Express,238.0,Delivered,2
48,OR10048,South,Home,2022-05-30,2022-05-30,2022-06-08,Standard,125.0,Delivered,9
49,OR10049,West,Fashion,2025-06-17,2025-06-18,2025-06-23,Standard,84.0,Delivered,5
50,OR10050,West,Home,2024-12-31,2025-01-01,2025-01-11,Express,122.0,Delivered,10
51,OR10051,West,Electronics,2022-07-11,2022-07-11,2022-07-20,Standard,146.0,Delivered,9
52,OR10052,West,Sports,2024-04-07,2024-04-12,2024-04-16,Standard,115.0,Delivered,4
53,OR10053,Central,Grocery,2022-08-17,2022-08-17,2022-08-24,Standard,95.0,Delivered,7
54,OR10054,East,Grocery,2022-10-11,2022-10-13,2022-10-16,Standard,81.0,Returned,3
55,OR10055,North,Home,2025-09-16,2025-09-16,2025-09-25,Standard,107.0,Delivered,9
56,OR10056,West,Fashion,2022-08-22,2022-08-23,2022-08-28,Express,165.0,Delivered,5
57,OR10057,South,Home,2022-11-29,2022-12-01,2022-12-07,Express,194.0,Delivered,6
58,OR10058,West,Electronics,2022-02-12,2022-02-12,2022-02-22,Express,244.0,Delivered,10
59,OR10059,South,Beauty,2025-12-05,2025-12-07,2025-12-12,Standard,69.0,Delivered,5
60,OR10060,South,Fashion,2024-03-01,2024-03-04,,Express,243.0,Delayed,9
61,OR10061,West,Sports,2024-01-25,2024-01-25,2024-02-01,Standard,77.0,Delivered,7
62,OR10062,Central,Electronics,2022-04-07,2022-04-07,2022-04-13,Express,148.0,Delivered,6
63,OR10063,South,Sports,2023-01-08,2023-01-09,2023-01-17,Standard,51.0,Delivered,8
64,OR10064,South,Fashion,2023-08-25,2023-08-27,2023-08-30,Standard,81.0,Delivered,3
65,OR10065,West,Sports,2022-08-23,2022-08-25,2022-08-27,Standard,52.0,Delivered,2
66,OR10066,South,Electronics,2025-12-14,2025-12-14,2025-12-20,Standard,90.0,Delivered,6
67,OR10067,South,Electronics,2022-04-07,2022-04-07,2022-04-13,Standard,79.0,Delivered,6
68,OR10068,West,Home,2025-08-10,2025-08-11,2025-08-16,Standard,61.0,Returned,5
69,OR10069,West,Beauty,2024-07-27,2024-08-01,2024-08-11,Standard,95.0,Delivered,10
70,OR10070,North,Fashion,2022-09-09,2022-09-09,2022-09-15,Express,97.0,Returned,6
71,OR10071,Central,Grocery,2023-01-03,2023-01-06,2023-01-09,Standard,100.0,Delayed,3
